user,role,degree_w,betweenness,community
fabricsherpa,contributor,43,0.00012966921731204548,0
ChocolateBug,contributor,78,0.00012953289137708054,1
eliana5767,contributor,28,0.00012945259761295297,0
gpapas,contributor,28,0.00012945259761295297,0
joannapaulat,contributor,28,0.00012945259761295297,0
pflynn,contributor,28,0.00012945259761295297,0
retreat2,contributor,28,0.00012945259761295297,0
cvln94,contributor,123,0.00012899926019111418,10
bigcupgirl,contributor,16,0.00012877683553308685,0
cjmbecker,contributor,16,0.00012877683553308685,0
stevey,contributor,16,0.00012877683553308685,0
japauh,contributor,16,0.00012877683553308685,0
GieblerDiana,contributor,29,0.00012866563257540498,1
alhale,contributor,52,0.00012813048612304807,0
rivercoyote,contributor,37,0.00012669845073566815,1
theatrestage,contributor,37,0.00012669845073566815,1
tinyteef,contributor,37,0.00012669845073566815,1
mearsfan,contributor,37,0.00012669845073566815,1
mdsystem1,contributor,37,0.00012669845073566815,1
espressomac,contributor,37,0.00012669845073566815,1
evo1216,contributor,37,0.00012669845073566815,1
gitrmakr,contributor,37,0.00012669845073566815,1
javajo13,contributor,37,0.00012669845073566815,1
lala_lorissa,contributor,37,0.00012669845073566815,1
erikalynn3,contributor,37,0.00012669845073566815,1
crystalcafe,contributor,37,0.00012669845073566815,1
dcadran,contributor,37,0.00012669845073566815,1
TRUCiara,contributor,37,0.00012669845073566815,1
luluspencer,contributor,96,0.0001266550214412721,11
BAR1STA,contributor,39,0.00012591568125712273,20
susang,contributor,77,0.00012552232550783738,7
jholder,contributor,95,0.00012518049777089237,2
JayandA,contributor,74,0.0001251034372518366,0
pinkladybug,contributor,13,0.00012490697045315158,15
princesynico,contributor,13,0.00012490697045315158,15
bookmom,contributor,69,0.00012477987668433306,37
tbrown6211OR,contributor,19,0.0001237650852675866,1
luvsespresso,contributor,19,0.0001237650852675866,1
lizLopez,contributor,19,0.0001237650852675866,1
ssrider,contributor,25,0.00012358259994402717,0
warrenb,contributor,41,0.0001233530143757641,7
tpk,contributor,41,0.0001233530143757641,7
SidVicious,contributor,43,0.00012204658915579861,1
mellowroast,contributor,68,0.00012185820043894468,9
tucsondrinker,contributor,16,0.00012185256415845153,1
oldetymetoys,contributor,16,0.00012185256415845153,1
grandney,contributor,16,0.00012185256415845153,1
peaberry65,contributor,28,0.0001215001012094036,1
kilfannon,contributor,17,0.00012127360954572905,0
lucyvp,contributor,17,0.00012127360954572905,0
RubiesnPearls,contributor,21,0.0001210547288497228,41
lattecomfort,contributor,13,0.00012019113474949341,3
susanst824,contributor,13,0.00012019113474949341,3
sschwab3,contributor,13,0.00012019113474949341,3
brattyb,contributor,63,0.0001197445481607528,8
linde,contributor,94,0.00011973987023543356,8
TiaraBean1027,contributor,5,0.00011948979467488316,0
9875E6CC-D8BD-4A57-A23E-5F0683117CB9,contributor,56,0.00011910409736453836,1
dixiebell,contributor,15,0.00011906674255045026,1
coffeemusic,contributor,15,0.00011906674255045026,1
empressj,contributor,15,0.00011906674255045026,1
jenn13,contributor,15,0.00011906674255045026,1
LeesaM,contributor,15,0.00011906674255045026,1
LaurelH,contributor,15,0.00011906674255045026,1
bonnie7,contributor,15,0.00011906674255045026,1
Medicgirl,contributor,38,0.00011888015390685465,3
veranita,contributor,17,0.00011699317502811437,1
sscarpr3,contributor,17,0.00011699317502811437,1
sbuxuser,contributor,17,0.00011699317502811437,1
MochaLoca,contributor,59,0.00011696833357667038,1
gingin2,contributor,101,0.00011661316690943716,8
jontda,contributor,8,0.00011571293714145971,1
soymochaplease,contributor,27,0.00011558418793667522,1
pychobunny,contributor,27,0.00011558418793667522,1
mrskacmar,contributor,27,0.00011558418793667522,1
lyracole,contributor,27,0.00011558418793667522,1
lionwoman,contributor,19,0.00011459266269815375,1
presslover,contributor,19,0.00011459266269815375,1
TheMaster,contributor,28,0.00011455387740206803,4
Veralein,contributor,28,0.00011455387740206803,4
Yusef,contributor,28,0.00011455387740206803,4
Rheanne,contributor,54,0.00011385643657648967,18
cgill,contributor,12,0.0001119758954312307,1
imagana,contributor,12,0.0001119758954312307,1
fusionlatte,contributor,117,0.00011196841863579099,0
lindamb296,contributor,19,0.00011149083693043825,0
xChelziex,contributor,15,0.00011072660209652312,1
mocha2go,contributor,15,0.00011072660209652312,1
coffeegarden13,contributor,15,0.00011072660209652312,1
mccuskermommy,contributor,97,0.00010997294056412958,12
Dash2,contributor,54,0.0001096200592241334,7
fromru,contributor,21,0.0001094387978846524,1
gira,contributor,10,0.00010912346542031991,1
MN1858,contributor,47,0.00010876608555497183,1
ash_sk8s,contributor,100,0.00010848702219598854,8
EJGolfer,contributor,59,0.00010843106001734672,8
